Date,Open,High,Low,Close
2018-09-19,112.353,112.445,112.16,112.304
2018-09-20,112.256,112.581,112.039,112.492
2018-09-21,112.476,112.87,112.422,112.555
2018-09-24,112.401,112.84,112.401,112.813
2018-09-25,112.765,112.979,112.74,112.974
2018-09-26,112.974,113.137,112.633,112.744
2018-09-27,112.712,113.469,112.561,113.405
2018-09-28,113.357,113.712,113.307,113.691
2018-10-01,113.709,114.061,113.699,113.977
2018-10-02,113.909,114.018,113.53,113.682
2018-10-03,113.633,114.538,113.521,114.536
2018-10-04,114.53,114.547,113.63,113.94
2018-10-05,113.875,114.099,113.556,113.697
2018-10-08,113.764,113.944,112.824,113.235
2018-10-09,113.227,113.39,112.867,112.951
2018-10-10,112.951,113.285,112.253,112.253
2018-10-11,112.27,112.536,111.829,112.166
2018-10-12,112.152,112.494,111.877,112.211
2018-10-15,112.135,112.233,111.623,111.771
2018-10-16,111.764,112.337,111.731,112.246
2018-10-17,112.252,112.677,112.017,112.662
2018-10-18,112.641,112.728,111.947,112.189
2018-10-19,112.196,112.649,112.143,112.544
2018-10-22,112.567,112.883,112.346,112.816
2018-10-23,112.82,112.841,111.954,112.444
2018-10-24,112.442,112.745,112.09,112.252
2018-10-25,112.248,112.674,111.819,112.393
2018-10-26,112.407,112.441,111.374,111.889
2018-10-29,111.859,112.565,111.776,112.376
2018-10-30,112.352,113.084,112.301,113.079
2018-10-31,113.112,113.386,112.806,112.984
2018-11-01,112.93,113.001,112.603,112.691
2018-11-02,112.69,113.319,112.554,113.204
2018-11-05,113.152,113.336,113.072,113.192
2018-11-06,113.184,113.503,113.098,113.449
2018-11-07,113.422,113.815,112.943,113.554
2018-11-08,113.49,114.089,113.475,114.051
2018-11-09,114.062,114.074,113.639,113.822
2018-11-12,113.771,114.209,113.662,113.835
2018-11-13,113.83,114.148,113.582,113.806
2018-11-14,113.803,114.007,113.295,113.622
2018-11-15,113.605,113.706,113.097,113.621
2018-11-16,113.616,113.636,112.642,112.861
2018-11-19,112.75,112.877,112.421,112.556
2018-11-20,112.546,112.842,112.303,112.743
2018-11-21,112.76,113.148,112.644,113.047
2018-11-22,113.047,113.181,112.882,112.931
2018-11-23,112.931,113.012,112.663,112.92
2018-11-26,112.901,113.649,112.875,113.599
2018-11-27,113.549,113.843,113.414,113.771
2018-11-28,113.769,114.037,113.443,113.687
2018-11-29,113.676,113.682,113.189,113.473
2018-11-30,113.477,113.717,113.309,113.541
2018-12-03,113.637,113.821,113.374,113.636
2018-12-04,113.639,113.655,112.577,112.785
2018-12-05,112.748,113.24,112.648,113.185
2018-12-06,113.185,113.193,112.231,112.672
2018-12-07,112.65,112.93,112.556,112.692
2018-12-10,112.596,113.364,112.238,113.313
2018-12-11,113.315,113.464,113.005,113.384
2018-12-12,113.359,113.521,113.142,113.271
2018-12-13,113.272,113.711,113.17,113.608
2018-12-14,113.591,113.671,113.201,113.399
2018-12-17,113.339,113.522,112.683,112.829
2018-12-18,112.826,112.854,112.25,112.523
2018-12-19,112.494,112.666,112.09,112.482
2018-12-20,112.475,112.604,110.813,111.286
2018-12-21,111.276,111.457,110.931,111.206
2018-12-24,110.942,111.192,110.269,110.43
2018-12-26,110.283,111.408,110.138,111.361
2018-12-27,111.34,111.34,110.455,110.986
2018-12-28,110.965,111.008,110.143,110.296
2018-12-31,110.231,110.476,109.56,109.602
